country,sex,year,not_classified_000
cym,m,2011,0.09399999678134918
cym,f,2011,0.11500000208616257
cym,mf,2012,0.1120000034570694
cym,m,2012,0.0560000017285347
cym,f,2012,0.0560000017285347
tcd,mf,1993,25.89900016784668
tcd,m,1993,14.449000358581543
tcd,f,1993,11.449999809265137
chl,mf,1990,83.5999984741211
chl,m,1990,41.95000076293945
chl,f,1990,41.650001525878906
chl,mf,1992,80.25
chl,m,1992,39.5
chl,f,1992,40.75
chl,mf,1994,63.650001525878906
chl,m,1994,22.530000686645508
chl,f,1994,41.119998931884766
col,mf,2008,6.3480000495910645
col,m,2008,3.8919999599456787
col,f,2008,2.4570000171661377
col,mf,2009,20.777000427246094
col,m,2009,11.281000137329102
col,f,2009,9.496000289916992
col,mf,2010,17.488000869750977
col,m,2010,7.645999908447266
col,f,2010,9.842000007629395
col,mf,2011,20.81100082397461
col,m,2011,4.8379998207092285
col,f,2011,15.973999977111816
col,mf,2012,25.45199966430664
col,m,2012,8.185999870300293
col,f,2012,17.266000747680664
col,mf,2013,26.645000457763672
col,m,2013,9.949000358581543
col,f,2013,16.695999145507812
cog,mf,2005,25.277999877929688
cog,m,2005,16.187999725341797
cog,f,2005,9.09000015258789
civ,mf,2002,245.32899475097656
civ,m,2002,154.39199829101562
civ,f,2002,90.93699645996094
civ,mf,2012,138.1929931640625
civ,m,2012,79.03900146484375
civ,f,2012,59.15399932861328
cze,mf,1998,0.367000013589859
cze,m,1998,0.367000013589859
cze,f,1998,0.0
cze,mf,2000,0.3720000088214874
cze,m,2000,0.3720000088214874
cze,f,2000,0.0
cze,mf,2001,0.75
cze,m,2001,0.5809999704360962
cze,f,2001,0.16899999976158142
cze,mf,2002,0.9340000152587891
cze,m,2002,0.8080000281333923
cze,f,2002,0.125
cze,mf,2003,0.20600000023841858
cze,m,2003,0.0
cze,f,2003,0.20600000023841858
cze,mf,2004,0.3400000035762787
cze,m,2004,0.10700000077486038
cze,f,2004,0.2329999953508377
cze,mf,2005,0.06700000166893005
cze,m,2005,0.06700000166893005
cze,f,2005,0.0
cze,mf,2006,0.6480000019073486
cze,m,2006,0.6480000019073486
cze,f,2006,0.0
cze,mf,2007,0.7179999947547913
cze,m,2007,0.7179999947547913
cze,f,2007,0.0
cze,mf,2008,0.1469999998807907
cze,m,2008,0.0
cze,f,2008,0.1469999998807907
cze,mf,2010,0.11500000208616257
cze,m,2010,0.11500000208616257
cze,f,2010,0.0
dnk,mf,1984,0.4950000047683716
dnk,m,1984,0.16599999368190765
dnk,f,1984,0.32899999618530273
dnk,mf,1993,0.17100000381469727
dnk,m,1993,0.17100000381469727
dnk,f,1993,0.0
dnk,mf,1994,1.437999963760376
dnk,m,1994,0.765999972820282
dnk,f,1994,0.6710000038146973
dnk,mf,1999,0.08299999684095383
dnk,m,1999,0.0
dnk,f,1999,0.08299999684095383
dnk,mf,2000,0.9290000200271606
dnk,m,2000,0.8690000176429749
dnk,f,2000,0.061000000685453415
dnk,mf,2002,0.3449999988079071
dnk,m,2002,0.0
dnk,f,2002,0.3449999988079071
dnk,mf,2003,1.3309999704360962
dnk,m,2003,0.9649999737739563
dnk,f,2003,0.3659999966621399
dnk,mf,2004,0.8769999742507935
dnk,m,2004,0.47999998927116394
dnk,f,2004,0.3970000147819519
dnk,mf,2005,0.6259999871253967
dnk,m,2005,0.3050000071525574
dnk,f,2005,0.32100000977516174
dnk,mf,2006,0.03099999949336052
dnk,m,2006,0.0
dnk,f,2006,0.03099999949336052
dnk,mf,2010,0.0
dnk,m,2010,0.0
dnk,f,2010,0.0
dnk,mf,2011,0.0
dnk,m,2011,0.0
dnk,f,2011,0.0
dnk,mf,2012,0.0
dnk,m,2012,0.0
dnk,f,2012,0.0
dnk,mf,2013,0.0
dnk,m,2013,0.0
dnk,f,2013,0.0
dnk,mf,2014,0.0
dnk,m,2014,0.0
dnk,f,2014,0.0
dma,mf,1991,0.5199999809265137
dma,m,1991,0.3799999952316284
dma,f,1991,0.14000000059604645
dma,mf,1997,0.14000000059604645
dma,m,1997,0.11999999731779099
dma,f,1997,0.019999999552965164
dma,mf,1999,0.1899999976158142
dma,m,1999,0.10999999940395355
dma,f,1999,0.07999999821186066
dma,mf,2001,0.20000000298023224
dma,m,2001,0.14000000059604645
dma,f,2001,0.05999999865889549
dom,mf,2010,813.7410278320312
dom,m,2010,221.4010009765625
dom,f,2010,592.3400268554688
ecu,mf,1988,116.0999984741211
ecu,m,1988,5.099999904632568
ecu,f,1988,110.9000015258789
ecu,mf,1989,106.4000015258789
ecu,m,1989,7.800000190734863
ecu,f,1989,98.5999984741211
ecu,mf,1990,105.5
ecu,m,1990,8.899999618530273
ecu,f,1990,96.5999984741211
ecu,mf,1991,124.19999694824219
ecu,m,1991,9.199999809265137
ecu,f,1991,115.0
ecu,mf,1992,116.30000305175781
ecu,m,1992,9.199999809265137
ecu,f,1992,106.80000305175781
ecu,mf,1993,118.5
ecu,m,1993,6.900000095367432
ecu,f,1993,111.5999984741211
ecu,mf,1994,127.19999694824219
ecu,m,1994,5.699999809265137
ecu,f,1994,121.5
ecu,mf,1995,138.10000610351562
ecu,m,1995,10.899999618530273
ecu,f,1995,127.30000305175781
ecu,mf,1996,138.0
ecu,m,1996,11.0
ecu,f,1996,127.0
ecu,mf,1997,154.10000610351562
ecu,m,1997,12.699999809265137
ecu,f,1997,141.3000030517578
ecu,mf,1998,173.89999389648438
ecu,m,1998,17.0
ecu,f,1998,156.89999389648438
ecu,mf,1999,0.0
ecu,m,1999,0.0
ecu,f,1999,0.0
ecu,mf,2001,22.77199935913086
ecu,m,2001,7.244999885559082
ecu,f,2001,15.527000427246094
ecu,mf,2013,0.0
ecu,m,2013,0.0
ecu,f,2013,0.0
slv,mf,1993,20.270000457763672
slv,m,1993,12.949999809265137
slv,f,1993,7.320000171661377
slv,mf,1994,13.579999923706055
slv,m,1994,12.539999961853027
slv,f,1994,1.0399999618530273
slv,mf,1995,92.69999694824219
slv,m,1995,20.5
slv,f,1995,72.19999694824219
slv,mf,1996,102.5999984741211
slv,m,1996,17.0
slv,f,1996,85.5999984741211
slv,mf,1997,98.30000305175781
slv,m,1997,11.5
slv,f,1997,86.69999694824219
slv,mf,1998,2.799999952316284
slv,m,1998,2.299999952316284
slv,f,1998,0.5
slv,mf,1999,2.0999999046325684
slv,m,1999,1.399999976158142
slv,f,1999,0.699999988079071
slv,mf,2000,105.0
slv,m,2000,14.5
slv,f,2000,90.5999984741211
slv,mf,2001,119.0
slv,m,2001,19.299999237060547
slv,f,2001,99.69999694824219
slv,mf,2002,112.5
slv,m,2002,25.100000381469727
slv,f,2002,87.4000015258789
slv,mf,2003,117.0
slv,m,2003,22.200000762939453
slv,f,2003,94.80000305175781
slv,mf,2004,114.9000015258789
slv,m,2004,17.600000381469727
slv,f,2004,97.30000305175781
slv,mf,2005,108.80000305175781
slv,m,2005,18.899999618530273
slv,f,2005,89.9000015258789
slv,mf,2006,127.5999984741211
slv,m,2006,21.700000762939453
slv,f,2006,105.9000015258789
slv,mf,2007,4.677999973297119
slv,m,2007,4.63100004196167
slv,f,2007,0.04699999839067459
slv,mf,2008,7.080999851226807
slv,m,2008,6.36299991607666
slv,f,2008,0.7179999947547913
slv,mf,2009,0.21899999678134918
slv,m,2009,0.12999999523162842
slv,f,2009,0.08900000154972076
slv,mf,2010,0.20399999618530273
slv,m,2010,0.1379999965429306
slv,f,2010,0.06599999964237213
slv,mf,2011,0.503000020980835
slv,m,2011,0.18799999356269836
slv,f,2011,0.3149999976158142
slv,mf,2012,1.1979999542236328
slv,m,2012,0.20200000703334808
slv,f,2012,0.9959999918937683
slv,mf,2013,122.22000122070312
slv,m,2013,13.925000190734863
slv,f,2013,108.29499816894531
gnq,mf,1983,0.8999999761581421
gnq,m,1983,0.6000000238418579
gnq,f,1983,0.0
est,mf,1989,1.7000000476837158
est,m,1989,0.6000000238418579
est,f,1989,1.2000000476837158
est,mf,1990,3.0
est,m,1990,1.5
est,f,1990,1.5
est,mf,1991,4.0
est,m,1991,2.5
est,f,1991,1.5
est,mf,1992,5.099999904632568
est,m,1992,3.5
est,f,1992,1.600000023841858
est,mf,1993,6.199999809265137
est,m,1993,3.9000000953674316
est,f,1993,2.299999952316284
est,mf,1994,6.199999809265137
est,m,1994,3.9000000953674316
est,f,1994,2.299999952316284
eth,mf,1981,154.02999877929688
eth,m,1981,65.5999984741211
eth,f,1981,85.38999938964844
eth,mf,1987,412.70001220703125
eth,m,1987,348.79998779296875
eth,f,1987,63.79999923706055
eth,mf,1994,257.2300109863281
