country,sex,year,total_self_employed_workers_a_b_c_d
brb,m,1993,17.600000381469727
brb,f,1993,10.199999809265137
brb,mf,1994,13.0
brb,m,1994,15.699999809265137
brb,f,1994,9.800000190734863
brb,mf,1995,12.699999809265137
brb,m,1995,15.600000381469727
brb,f,1995,9.399999618530273
brb,mf,1996,12.699999809265137
brb,m,1996,15.600000381469727
brb,f,1996,9.5
brb,mf,1997,12.0
brb,m,1997,15.399999618530273
brb,f,1997,8.0
brb,mf,1998,12.5
brb,m,1998,15.699999809265137
brb,f,1998,8.899999618530273
brb,mf,1999,14.0
brb,m,1999,17.899999618530273
brb,f,1999,9.100000381469727
brb,mf,2000,12.699999809265137
brb,m,2000,16.899999618530273
brb,f,2000,8.0
brb,mf,2001,14.100000381469727
brb,m,2001,18.399999618530273
brb,f,2001,9.399999618530273
brb,mf,2002,14.100000381469727
brb,m,2002,18.200000762939453
brb,f,2002,9.199999809265137
brb,mf,2003,14.399999618530273
brb,m,2003,19.399999618530273
brb,f,2003,8.899999618530273
brb,mf,2004,15.199999809265137
brb,m,2004,19.799999237060547
brb,f,2004,10.300000190734863
brb,mf,2013,16.700000762939453
brb,m,2013,21.399999618530273
brb,f,2013,11.800000190734863
blr,mf,2009,3.0999999046325684
blr,m,2009,3.9000000953674316
blr,f,2009,2.4000000953674316
bel,mf,1980,16.600000381469727
bel,m,1980,16.100000381469727
bel,f,1980,17.5
bel,mf,1981,17.0
bel,m,1981,16.600000381469727
bel,f,1981,17.700000762939453
bel,mf,1982,17.299999237060547
bel,m,1982,17.0
bel,f,1982,17.899999618530273
bel,mf,1983,18.299999237060547
bel,m,1983,17.899999618530273
bel,f,1983,19.200000762939453
bel,mf,1984,20.0
bel,m,1984,19.200000762939453
bel,f,1984,21.5
bel,mf,1985,20.0
bel,m,1985,19.700000762939453
bel,f,1985,20.5
bel,mf,1986,19.100000381469727
bel,m,1986,19.100000381469727
bel,f,1986,19.100000381469727
bel,mf,1987,18.399999618530273
bel,m,1987,19.0
bel,f,1987,17.299999237060547
bel,mf,1988,18.0
bel,m,1988,18.700000762939453
bel,f,1988,16.600000381469727
bel,mf,1989,19.200000762939453
bel,m,1989,20.200000762939453
bel,f,1989,17.5
bel,mf,1990,18.899999618530273
bel,m,1990,20.100000381469727
bel,f,1990,17.0
bel,mf,1991,17.299999237060547
bel,m,1991,18.5
bel,f,1991,15.300000190734863
bel,mf,1992,17.899999618530273
bel,m,1992,18.799999237060547
bel,f,1992,16.399999618530273
bel,mf,1993,17.899999618530273
bel,m,1993,19.200000762939453
bel,f,1993,16.0
bel,mf,1994,17.700000762939453
bel,m,1994,19.299999237060547
bel,f,1994,15.300000190734863
bel,mf,1995,17.899999618530273
bel,m,1995,19.0
bel,f,1995,16.399999618530273
bel,mf,1996,18.0
bel,m,1996,19.399999618530273
bel,f,1996,15.800000190734863
bel,mf,1997,17.200000762939453
bel,m,1997,18.700000762939453
bel,f,1997,15.100000381469727
bel,mf,1998,17.399999618530273
bel,m,1998,19.0
bel,f,1998,15.0
bel,mf,1999,17.299999237060547
bel,m,1999,18.200000762939453
bel,f,1999,16.0
bel,mf,2000,16.0
bel,m,2000,17.700000762939453
bel,f,2000,13.800000190734863
bel,mf,2001,15.199999809265137
bel,m,2001,16.799999237060547
bel,f,2001,13.0
bel,mf,2002,15.399999618530273
bel,m,2002,16.899999618530273
bel,f,2002,13.5
bel,mf,2003,15.199999809265137
bel,m,2003,17.0
bel,f,2003,12.699999809265137
bel,mf,2004,14.699999809265137
bel,m,2004,17.0
bel,f,2004,11.699999809265137
bel,mf,2005,15.199999809265137
bel,m,2005,17.5
bel,f,2005,12.300000190734863
bel,mf,2006,15.100000381469727
bel,m,2006,17.600000381469727
bel,f,2006,11.800000190734863
bel,mf,2007,14.800000190734863
bel,m,2007,17.399999618530273
bel,f,2007,11.5
bel,mf,2008,14.199999809265137
bel,m,2008,17.0
bel,f,2008,10.800000190734863
bel,mf,2009,14.800000190734863
bel,m,2009,17.700000762939453
bel,f,2009,11.300000190734863
bel,mf,2010,14.399999618530273
bel,m,2010,17.299999237060547
bel,f,2010,10.800000190734863
bel,mf,2011,14.300000190734863
bel,m,2011,17.5
bel,f,2011,10.5
bel,mf,2012,14.300000190734863
bel,m,2012,17.600000381469727
bel,f,2012,10.5
bel,mf,2013,15.100000381469727
bel,m,2013,18.799999237060547
bel,f,2013,10.699999809265137
bel,mf,2014,14.600000381469727
bel,m,2014,17.899999618530273
bel,f,2014,10.899999618530273
blz,mf,1993,29.399999618530273
blz,m,1993,32.0
blz,f,1993,23.600000381469727
blz,mf,1994,30.399999618530273
blz,m,1994,33.0
blz,f,1994,24.600000381469727
blz,mf,1995,31.600000381469727
blz,m,1995,34.400001525878906
blz,f,1995,25.100000381469727
blz,mf,1996,34.0
blz,m,1996,37.900001525878906
blz,f,1996,24.700000762939453
blz,mf,1997,35.400001525878906
blz,m,1997,38.099998474121094
blz,f,1997,29.399999618530273
blz,mf,1998,33.20000076293945
blz,m,1998,35.79999923706055
blz,f,1998,27.600000381469727
blz,mf,1999,34.900001525878906
blz,m,1999,37.79999923706055
blz,f,1999,28.5
blz,mf,2005,30.600000381469727
blz,m,2005,33.0
blz,f,2005,26.0
ben,mf,2003,89.9000015258789
ben,m,2003,83.69999694824219
ben,f,2003,95.80000305175781
ben,mf,2010,88.9000015258789
ben,m,2010,83.9000015258789
ben,f,2010,93.4000015258789
bmu,mf,2009,13.199999809265137
bmu,m,2009,18.200000762939453
bmu,f,2009,8.399999618530273
bmu,mf,2010,9.699999809265137
bmu,m,2010,13.100000381469727
bmu,f,2010,6.199999809265137
bmu,mf,2012,17.5
bmu,m,2012,21.600000381469727
bmu,f,2012,13.199999809265137
btn,mf,2006,68.19999694824219
btn,m,2006,59.70000076293945
btn,f,2006,79.69999694824219
btn,mf,2009,74.5
btn,m,2009,64.0
btn,f,2009,85.69999694824219
