country,sex,year,share_of_vulnerable_employment_in_total_employment_percentage
cri,mf,1981,21.299999237060547
cri,mf,1982,22.299999237060547
cri,mf,1983,22.600000381469727
cri,mf,1984,21.200000762939453
cri,mf,1985,22.5
cri,mf,1986,21.600000381469727
cri,mf,1987,25.700000762939453
cri,m,1987,28.5
cri,f,1987,18.100000381469727
cri,mf,1988,24.399999618530273
cri,m,1988,26.600000381469727
cri,f,1988,18.600000381469727
cri,mf,1989,25.299999237060547
cri,m,1989,27.399999618530273
cri,f,1989,19.700000762939453
cri,mf,1990,24.700000762939453
cri,m,1990,26.299999237060547
cri,f,1990,20.5
cri,mf,1991,25.5
cri,m,1991,26.5
cri,f,1991,23.0
cri,mf,1992,23.299999237060547
cri,m,1992,24.799999237060547
cri,f,1992,19.700000762939453
cri,mf,1993,23.200000762939453
cri,m,1993,23.799999237060547
cri,f,1993,21.600000381469727
cri,mf,1994,21.399999618530273
cri,m,1994,22.0
cri,f,1994,20.100000381469727
cri,mf,1995,22.5
cri,m,1995,23.100000381469727
cri,f,1995,21.100000381469727
cri,mf,1996,21.700000762939453
cri,m,1996,23.299999237060547
cri,f,1996,17.899999618530273
cri,mf,1997,22.700000762939453
cri,m,1997,23.0
cri,f,1997,22.100000381469727
cri,mf,1998,21.200000762939453
cri,m,1998,21.600000381469727
cri,f,1998,20.200000762939453
cri,mf,1999,20.899999618530273
cri,m,1999,21.0
cri,f,1999,20.899999618530273
cri,mf,2000,23.5
cri,m,2000,24.899999618530273
cri,f,2000,20.5
cri,mf,2001,23.200000762939453
cri,m,2001,22.899999618530273
cri,f,2001,23.799999237060547
cri,mf,2002,23.799999237060547
cri,mf,2003,21.899999618530273
cri,m,2003,20.799999237060547
cri,f,2003,24.0
cri,mf,2004,23.100000381469727
cri,m,2004,22.200000762939453
cri,f,2004,25.0
cri,mf,2005,21.100000381469727
cri,m,2005,20.299999237060547
cri,f,2005,22.600000381469727
cri,mf,2006,21.600000381469727
cri,m,2006,21.600000381469727
cri,f,2006,21.600000381469727
cri,mf,2007,19.700000762939453
cri,m,2007,19.600000381469727
cri,f,2007,19.899999618530273
cri,mf,2008,19.600000381469727
cri,m,2008,19.200000762939453
cri,f,2008,20.299999237060547
cri,mf,2009,20.100000381469727
cri,m,2009,19.5
cri,f,2009,21.200000762939453
cri,mf,2010,20.399999618530273
cri,m,2010,21.5
cri,f,2010,18.600000381469727
cri,mf,2011,20.200000762939453
cri,m,2011,20.899999618530273
cri,f,2011,18.899999618530273
cri,mf,2012,20.200000762939453
cri,m,2012,21.399999618530273
cri,f,2012,18.299999237060547
cri,mf,2013,20.700000762939453
cri,m,2013,21.5
cri,f,2013,19.399999618530273
civ,mf,2002,75.80000305175781
civ,m,2002,69.5
civ,f,2002,84.0
civ,mf,2012,79.0
civ,m,2012,71.19999694824219
civ,f,2012,89.30000305175781
hrv,mf,1996,23.5
hrv,m,1996,22.5
