country,sex,year,own_account_workers_b
bel,mf,1993,13.300000190734863
bel,m,1993,15.699999809265137
bel,f,1993,9.699999809265137
bel,mf,1994,13.699999809265137
bel,m,1994,16.399999618530273
bel,f,1994,9.800000190734863
bel,mf,1995,13.5
bel,m,1995,15.600000381469727
bel,f,1995,10.300000190734863
bel,mf,1996,13.600000381469727
bel,m,1996,16.100000381469727
bel,f,1996,9.899999618530273
bel,mf,1997,13.5
bel,m,1997,16.100000381469727
bel,f,1997,9.600000381469727
bel,mf,1998,13.600000381469727
bel,m,1998,16.0
bel,f,1998,10.100000381469727
bel,mf,1999,10.300000190734863
bel,m,1999,11.699999809265137
bel,f,1999,8.399999618530273
bel,mf,2000,9.399999618530273
bel,m,2000,11.0
bel,f,2000,7.300000190734863
bel,mf,2001,8.699999809265137
bel,m,2001,10.0
bel,f,2001,7.099999904632568
bel,mf,2002,9.600000381469727
bel,m,2002,11.0
bel,f,2002,7.599999904632568
bel,mf,2003,9.300000190734863
bel,m,2003,10.800000190734863
bel,f,2003,7.400000095367432
bel,mf,2004,8.5
bel,m,2004,10.199999809265137
bel,f,2004,6.199999809265137
bel,mf,2005,8.899999618530273
bel,m,2005,10.699999809265137
bel,f,2005,6.599999904632568
bel,mf,2006,8.899999618530273
bel,m,2006,10.800000190734863
bel,f,2006,6.400000095367432
bel,mf,2007,9.0
bel,m,2007,10.800000190734863
bel,f,2007,6.800000190734863
bel,mf,2008,8.800000190734863
bel,m,2008,10.699999809265137
bel,f,2008,6.5
bel,mf,2009,9.100000381469727
bel,m,2009,10.899999618530273
bel,f,2009,6.800000190734863
bel,mf,2010,8.899999618530273
bel,m,2010,10.800000190734863
bel,f,2010,6.599999904632568
bel,mf,2011,9.100000381469727
bel,m,2011,11.0
bel,f,2011,6.699999809265137
bel,mf,2012,9.399999618530273
bel,m,2012,11.399999618530273
bel,f,2012,7.099999904632568
bel,mf,2013,9.899999618530273
bel,m,2013,12.300000190734863
bel,f,2013,7.0
bel,mf,2014,9.600000381469727
bel,m,2014,11.800000190734863
bel,f,2014,7.0
blz,mf,1993,26.399999618530273
blz,m,1993,28.799999237060547
blz,f,1993,21.0
blz,mf,1994,26.0
blz,m,1994,28.799999237060547
blz,f,1994,19.700000762939453
blz,mf,1995,21.600000381469727
blz,m,1995,23.100000381469727
blz,f,1995,18.100000381469727
blz,mf,1996,22.600000381469727
blz,m,1996,25.0
blz,f,1996,16.700000762939453
blz,mf,1997,31.100000381469727
blz,m,1997,33.599998474121094
blz,f,1997,25.200000762939453
blz,mf,1998,29.100000381469727
blz,m,1998,32.0
blz,f,1998,22.899999618530273
blz,mf,1999,31.5
blz,m,1999,34.5
blz,f,1999,24.899999618530273
blz,mf,2005,19.600000381469727
blz,m,2005,20.899999618530273
blz,f,2005,17.200000762939453
ben,mf,2003,73.80000305175781
ben,m,2003,69.80000305175781
ben,f,2003,77.5
ben,mf,2010,73.5999984741211
ben,m,2010,73.80000305175781
ben,f,2010,73.5
bmu,mf,2009,7.5
bmu,m,2009,9.800000190734863
bmu,f,2009,5.199999809265137
bmu,mf,2010,6.099999904632568
bmu,m,2010,8.0
bmu,f,2010,4.099999904632568
bmu,mf,2012,7.5
bmu,m,2012,9.800000190734863
bmu,f,2012,5.0
btn,mf,2006,14.100000381469727
btn,m,2006,13.399999618530273
btn,f,2006,15.0
btn,mf,2009,22.5
btn,m,2009,21.700000762939453
btn,f,2009,23.299999237060547
btn,mf,2010,27.299999237060547
btn,m,2010,26.5
btn,f,2010,28.100000381469727
