country,sex,year,not_classified_percentage
dnk,m,2002,0.0
dnk,f,2002,0.0
dnk,mf,2003,0.0
dnk,m,2003,0.10000000149011612
dnk,f,2003,0.0
dnk,mf,2004,0.0
dnk,m,2004,0.0
dnk,f,2004,0.0
dnk,mf,2005,0.0
dnk,m,2005,0.0
dnk,f,2005,0.0
dnk,mf,2006,0.0
dnk,m,2006,0.0
dnk,f,2006,0.0
dnk,mf,2010,0.0
dnk,m,2010,0.0
dnk,f,2010,0.0
dnk,mf,2011,0.0
dnk,m,2011,0.0
dnk,f,2011,0.0
dnk,mf,2012,0.0
dnk,m,2012,0.0
dnk,f,2012,0.0
dnk,mf,2013,0.0
dnk,m,2013,0.0
dnk,f,2013,0.0
dnk,mf,2014,0.0
dnk,m,2014,0.0
dnk,f,2014,0.0
dma,mf,1991,2.200000047683716
dma,m,1991,2.4000000953674316
dma,f,1991,1.7000000476837158
dma,mf,1997,0.5
dma,m,1997,0.800000011920929
dma,f,1997,0.20000000298023224
dma,mf,1999,0.699999988079071
dma,m,1999,0.6000000238418579
dma,f,1999,0.699999988079071
dma,mf,2001,0.800000011920929
dma,m,2001,0.8999999761581421
dma,f,2001,0.6000000238418579
dom,mf,2010,17.799999237060547
dom,m,2010,8.399999618530273
dom,f,2010,30.700000762939453
ecu,mf,1988,5.599999904632568
ecu,m,1988,0.4000000059604645
ecu,f,1988,15.399999618530273
ecu,mf,1989,4.900000095367432
ecu,m,1989,0.6000000238418579
ecu,f,1989,12.399999618530273
ecu,mf,1990,4.5
ecu,m,1990,0.6000000238418579
ecu,f,1990,11.600000381469727
ecu,mf,1991,4.800000190734863
ecu,m,1991,0.6000000238418579
ecu,f,1991,12.0
ecu,mf,1992,4.300000190734863
ecu,m,1992,0.6000000238418579
ecu,f,1992,10.300000190734863
ecu,mf,1993,4.5
ecu,m,1993,0.4000000059604645
ecu,f,1993,11.0
ecu,mf,1994,4.699999809265137
ecu,m,1994,0.30000001192092896
ecu,f,1994,11.800000190734863
ecu,mf,1995,4.800000190734863
ecu,m,1995,0.6000000238418579
ecu,f,1995,11.399999618530273
ecu,mf,1996,4.800000190734863
ecu,m,1996,0.6000000238418579
ecu,f,1996,11.600000381469727
ecu,mf,1997,5.0
ecu,m,1997,0.699999988079071
ecu,f,1997,12.300000190734863
ecu,mf,1998,5.5
ecu,m,1998,0.8999999761581421
ecu,f,1998,12.800000190734863
ecu,mf,1999,0.0
ecu,m,1999,0.0
ecu,f,1999,0.0
ecu,mf,2001,0.4000000059604645
ecu,m,2001,0.20000000298023224
ecu,f,2001,0.699999988079071
ecu,mf,2013,0.0
ecu,m,2013,0.0
ecu,f,2013,0.0
slv,mf,1993,1.2000000476837158
slv,m,1993,1.2999999523162842
slv,f,1993,1.100000023841858
slv,mf,1994,0.800000011920929
slv,m,1994,1.2000000476837158
slv,f,1994,0.10000000149011612
slv,mf,1995,4.699999809265137
slv,m,1995,1.7000000476837158
slv,f,1995,9.699999809265137
slv,mf,1996,5.0
slv,m,1996,1.2999999523162842
slv,f,1996,11.100000381469727
slv,mf,1997,4.699999809265137
slv,m,1997,0.8999999761581421
slv,f,1997,11.100000381469727
slv,mf,1998,0.10000000149011612
slv,m,1998,0.20000000298023224
slv,f,1998,0.10000000149011612
slv,mf,1999,0.10000000149011612
slv,m,1999,0.10000000149011612
slv,f,1999,0.10000000149011612
slv,mf,2000,4.800000190734863
slv,m,2000,1.100000023841858
slv,f,2000,10.100000381469727
slv,mf,2001,5.199999809265137
slv,m,2001,1.399999976158142
slv,f,2001,10.800000190734863
slv,mf,2002,5.099999904632568
slv,m,2002,1.899999976158142
slv,f,2002,9.399999618530273
slv,mf,2003,5.099999904632568
slv,m,2003,1.7000000476837158
slv,f,2003,10.0
slv,mf,2004,5.099999904632568
slv,m,2004,1.2999999523162842
slv,f,2004,10.600000381469727
slv,mf,2005,4.800000190734863
slv,m,2005,1.399999976158142
slv,f,2005,9.399999618530273
slv,mf,2006,5.5
slv,m,2006,1.600000023841858
slv,f,2006,10.600000381469727
slv,mf,2007,0.20000000298023224
slv,m,2007,0.4000000059604645
slv,f,2007,0.0
slv,mf,2008,0.30000001192092896
slv,m,2008,0.5
slv,f,2008,0.10000000149011612
slv,mf,2009,0.0
slv,m,2009,0.0
slv,f,2009,0.0
slv,mf,2010,0.0
slv,m,2010,0.0
slv,f,2010,0.0
slv,mf,2011,0.0
slv,m,2011,0.0
slv,f,2011,0.0
slv,mf,2012,0.0
slv,m,2012,0.0
slv,f,2012,0.10000000149011612
slv,mf,2013,4.699999809265137
slv,m,2013,0.8999999761581421
slv,f,2013,9.699999809265137
gnq,mf,1983,1.2000000476837158
gnq,m,1983,1.2999999523162842
gnq,f,1983,0.0
est,mf,1989,0.20000000298023224
est,m,1989,0.10000000149011612
est,f,1989,0.30000001192092896
est,mf,1990,0.4000000059604645
est,m,1990,0.4000000059604645
est,f,1990,0.4000000059604645
est,mf,1991,0.5
est,m,1991,0.6000000238418579
est,f,1991,0.4000000059604645
est,mf,1992,0.699999988079071
est,m,1992,0.8999999761581421
est,f,1992,0.4000000059604645
est,mf,1993,0.8999999761581421
est,m,1993,1.100000023841858
est,f,1993,0.699999988079071
est,mf,1994,0.8999999761581421
est,m,1994,1.100000023841858
est,f,1994,0.699999988079071
eth,mf,1981,1.399999976158142
eth,m,1981,0.8999999761581421
eth,f,1981,2.299999952316284
eth,mf,1987,3.5999999046325684
eth,m,1987,5.099999904632568
eth,f,1987,1.399999976158142
eth,mf,1994,1.0
eth,m,1994,1.0
eth,f,1994,1.0
eth,mf,1999,0.5
eth,m,1999,0.5
eth,f,1999,0.6000000238418579
eth,mf,2005,0.30000001192092896
eth,m,2005,0.4000000059604645
eth,f,2005,0.20000000298023224
eth,mf,2006,0.8999999761581421
eth,m,2006,1.0
eth,f,2006,0.699999988079071
eth,mf,2009,1.0
eth,m,2009,1.100000023841858
eth,f,2009,0.800000011920929
eth,mf,2010,1.100000023841858
eth,m,2010,1.399999976158142
eth,f,2010,0.699999988079071
eth,mf,2011,1.600000023841858
eth,m,2011,1.600000023841858
eth,f,2011,1.5
eth,mf,2012,1.0
eth,m,2012,1.100000023841858
eth,f,2012,0.800000011920929
eth,mf,2013,0.5
eth,m,2013,0.5
eth,f,2013,0.6000000238418579
flk,mf,2013,0.10000000149011612
flk,m,2013,0.10000000149011612
flk,f,2013,0.10000000149011612
fji,mf,2004,1.100000023841858
fji,m,2004,1.100000023841858
fji,f,2004,1.2999999523162842
fji,mf,2005,1.2999999523162842
fji,m,2005,0.699999988079071
fji,f,2005,2.9000000953674316
fji,mf,2007,8.699999809265137
fji,m,2007,10.399999618530273
fji,f,2007,4.900000095367432
fin,mf,1995,0.0
fin,m,1995,0.0
fin,f,1995,0.0
fin,mf,1996,0.10000000149011612
fin,m,1996,0.10000000149011612
fin,f,1996,0.0
fin,mf,1997,0.0
fin,m,1997,0.0
fin,f,1997,0.0
fin,mf,1999,0.0
fin,m,1999,0.0
fin,f,1999,0.0
fin,mf,2000,0.0
fin,m,2000,0.0
fin,f,2000,0.0
fin,mf,2003,0.0
fin,m,2003,0.0
fin,f,2003,0.0
fin,mf,2004,0.0
fin,m,2004,0.0
fin,f,2004,0.0
fin,mf,2005,0.0
fin,m,2005,0.0
fin,f,2005,0.0
fin,mf,2006,0.0
fin,m,2006,0.0
fin,f,2006,0.0
fin,mf,2007,0.0
fin,m,2007,0.0
fin,f,2007,0.0
fin,mf,2008,0.0
fin,m,2008,0.0
fin,f,2008,0.0
fin,mf,2014,0.0
fin,m,2014,0.0
fin,f,2014,0.0
fra,mf,2013,0.0
fra,m,2013,0.0
fra,f,2013,0.0
fra,mf,2014,0.0
fra,m,2014,0.0
fra,f,2014,0.0
guf,mf,2007,0.800000011920929
guf,mf,2008,0.800000011920929
gab,mf,1993,5.5
gab,m,1993,3.5999999046325684
gab,f,1993,7.800000190734863
gab,mf,2005,1.2000000476837158
gab,m,2005,1.399999976158142
gab,f,2005,0.8999999761581421
gab,mf,2010,0.699999988079071
gab,m,2010,0.800000011920929
gab,f,2010,0.6000000238418579
gmb,mf,2012,1.899999976158142
gmb,m,2012,3.0999999046325684
gmb,f,2012,0.4000000059604645
geo,mf,1998,0.800000011920929
geo,m,1998,0.8999999761581421
geo,f,1998,0.699999988079071
geo,mf,1999,1.100000023841858
geo,m,1999,1.2000000476837158
geo,f,1999,1.0
geo,mf,2000,0.800000011920929
geo,m,2000,0.8999999761581421
geo,f,2000,0.699999988079071
geo,mf,2001,0.800000011920929
geo,m,2001,0.8999999761581421
geo,f,2001,0.699999988079071
geo,mf,2002,0.20000000298023224
geo,m,2002,0.30000001192092896
geo,f,2002,0.10000000149011612
geo,mf,2003,0.10000000149011612
geo,m,2003,0.10000000149011612
geo,f,2003,0.0
geo,mf,2004,0.10000000149011612
geo,m,2004,0.20000000298023224
geo,f,2004,0.10000000149011612
geo,mf,2005,0.30000001192092896
geo,m,2005,0.30000001192092896
geo,f,2005,0.30000001192092896
geo,mf,2006,0.10000000149011612
geo,mf,2007,0.0
geo,mf,2008,0.10000000149011612
geo,m,2008,0.10000000149011612
geo,f,2008,0.0
