country,sex,year,employers_percentage
col,mf,1997,4.599999904632568
col,m,1997,6.0
col,f,1997,2.799999952316284
col,mf,1998,4.0
col,m,1998,5.199999809265137
col,f,1998,2.4000000953674316
col,mf,1999,4.400000095367432
col,m,1999,5.599999904632568
col,f,1999,2.9000000953674316
col,mf,2000,4.300000190734863
col,m,2000,5.5
col,f,2000,2.5
col,mf,2001,4.800000190734863
col,m,2001,6.099999904632568
col,f,2001,2.799999952316284
col,mf,2002,5.199999809265137
col,m,2002,6.800000190734863
col,f,2002,2.9000000953674316
col,mf,2003,5.0
col,m,2003,6.5
col,f,2003,2.5999999046325684
col,mf,2004,5.400000095367432
col,m,2004,6.900000095367432
col,f,2004,3.200000047683716
col,mf,2005,5.300000190734863
col,m,2005,6.800000190734863
col,f,2005,3.0999999046325684
col,mf,2006,5.5
col,m,2006,7.099999904632568
col,f,2006,3.0999999046325684
col,mf,2007,4.5
col,m,2007,5.300000190734863
col,f,2007,3.200000047683716
col,mf,2008,4.400000095367432
col,m,2008,5.599999904632568
col,f,2008,2.5999999046325684
col,mf,2009,5.099999904632568
col,m,2009,6.599999904632568
col,f,2009,2.9000000953674316
col,mf,2010,5.0
col,m,2010,6.5
col,f,2010,2.799999952316284
col,mf,2011,4.800000190734863
col,m,2011,6.099999904632568
col,f,2011,2.9000000953674316
col,mf,2012,4.800000190734863
col,m,2012,6.199999809265137
col,f,2012,2.9000000953674316
col,mf,2013,4.5
col,m,2013,5.699999809265137
col,f,2013,2.9000000953674316
cog,mf,2005,1.100000023841858
cog,m,2005,1.7000000476837158
cog,f,2005,0.5
cok,mf,2006,14.199999809265137
cok,m,2006,16.200000762939453
cok,f,2006,11.800000190734863
cok,mf,2011,5.699999809265137
cok,m,2011,6.5
cok,f,2011,4.599999904632568
cri,mf,1980,4.300000190734863
cri,mf,1981,3.299999952316284
cri,mf,1982,3.4000000953674316
cri,mf,1983,3.0
cri,mf,1984,2.799999952316284
cri,mf,1985,3.200000047683716
cri,mf,1986,3.0999999046325684
cri,mf,1987,3.9000000953674316
cri,m,1987,4.800000190734863
cri,f,1987,1.5
cri,mf,1988,4.900000095367432
cri,m,1988,5.800000190734863
cri,f,1988,2.299999952316284
cri,mf,1989,4.0
cri,m,1989,5.0
cri,f,1989,1.600000023841858
cri,mf,1990,5.300000190734863
cri,m,1990,6.599999904632568
cri,f,1990,1.899999976158142
cri,mf,1991,4.900000095367432
cri,m,1991,6.0
cri,f,1991,2.0999999046325684
cri,mf,1992,4.800000190734863
cri,m,1992,6.099999904632568
cri,f,1992,1.7999999523162842
cri,mf,1993,4.900000095367432
cri,m,1993,6.0
cri,f,1993,2.299999952316284
cri,mf,1994,6.699999809265137
cri,m,1994,8.0
cri,f,1994,3.700000047683716
cri,mf,1995,6.099999904632568
cri,m,1995,7.400000095367432
cri,f,1995,3.200000047683716
cri,mf,1996,7.0
cri,m,1996,8.100000381469727
cri,f,1996,4.400000095367432
cri,mf,1997,7.400000095367432
cri,m,1997,9.100000381469727
cri,f,1997,3.5999999046325684
cri,mf,1998,7.900000095367432
cri,m,1998,9.699999809265137
cri,f,1998,4.0
cri,mf,1999,8.100000381469727
cri,m,1999,9.800000190734863
cri,f,1999,4.400000095367432
cri,mf,2000,5.699999809265137
cri,m,2000,7.0
cri,f,2000,2.9000000953674316
cri,mf,2001,7.900000095367432
cri,m,2001,9.600000381469727
