country,sex,year,wage_salaried_workers_employees_percentage
bra,m,2012,65.5
bra,f,2012,72.69999694824219
bra,mf,2013,68.69999694824219
bra,m,2013,65.5
bra,f,2013,73.0
vgb,mf,1991,86.5999984741211
vgb,m,1991,83.0999984741211
vgb,f,1991,91.0999984741211
brn,mf,1991,94.9000015258789
brn,m,1991,94.4000015258789
brn,f,1991,96.0999984741211
bgr,mf,2000,83.0999984741211
bgr,m,2000,80.0999984741211
bgr,f,2000,86.5999984741211
bgr,mf,2001,84.30000305175781
bgr,m,2001,81.19999694824219
bgr,f,2001,87.5999984741211
bgr,mf,2002,84.4000015258789
bgr,m,2002,81.5999984741211
bgr,f,2002,87.5
bgr,mf,2003,83.80000305175781
bgr,m,2003,80.5999984741211
bgr,f,2003,87.4000015258789
bgr,mf,2004,83.9000015258789
bgr,m,2004,80.9000015258789
bgr,f,2004,87.19999694824219
bgr,mf,2005,85.69999694824219
bgr,m,2005,83.0999984741211
bgr,f,2005,88.80000305175781
bgr,mf,2006,86.9000015258789
bgr,m,2006,84.0999984741211
bgr,f,2006,89.9000015258789
bgr,mf,2007,87.5999984741211
bgr,m,2007,84.9000015258789
bgr,f,2007,90.5999984741211
bgr,mf,2008,87.5999984741211
bgr,m,2008,85.30000305175781
bgr,f,2008,90.19999694824219
bgr,mf,2009,87.5
bgr,m,2009,85.19999694824219
bgr,f,2009,90.19999694824219
bgr,mf,2010,87.19999694824219
bgr,m,2010,85.0
bgr,f,2010,89.5999984741211
